,asin,product name,ratings,reviews,helpful,date,Unnamed: 6,target,text
0,B07XC6WRJQ,"Sparkling ICE Sparkling Water, Variety Pack",4,"

  I’ve been ordering this product monthly for over a year. These past few shipments have been off, and the packaging is different. It is obvious they are from two different manufacturers. The full bottle is the imposter and has no pink ribbon on the label, the label photo is different, and if you look at the bottle, you can see on the back that the legitimate product has a 3% Juice Content label on the back up top, and the imposter has a 1% Juice Content. There are also other differences on the label. See Photos for comparison. Two different products, and the IMPOSTER is absolutely undrinkable and tastes nothing like the original product.I contacted Amazon and they are pulling this flavor, Red Grapefruit, off the shelf while they investigate this issue. They also issued me a full credit. I hope they can get this figured out because this is my favorite flavor and I drink it everyday.

",378,11-Jul-18,,p,"

  I’ve been ordering this product monthly for over a year. These past few shipments have been off, and the packaging is different. It is obvious they are from two different manufacturers. The full bottle is the imposter and has no pink ribbon on the label, the label photo is different, and if you look at the bottle, you can see on the back that the legitimate product has a 3% Juice Content label on the back up top, and the imposter has a 1% Juice Content. There are also other differences on the label. See Photos for comparison. Two different products, and the IMPOSTER is absolutely undrinkable and tastes nothing like the original product.I contacted Amazon and they are pulling this flavor, Red Grapefruit, off the shelf while they investigate this issue. They also issued me a full credit. I hope they can get this figured out because this is my favorite flavor and I drink it everyday.

"
1,B07XC6WRJQ,"Sparkling ICE Sparkling Water, Variety Pack",5,"

  I used to drink these Sparkling Ice waters in all flavors every day.  They all taste GREAT, my favorite was Black Raspberry. However, I just discovered that they contain sucralose which is just another harmful artificial sweetener. The only safe sweeteners are Stevia, Agave, and Raw Honey.  I have stopped drinking/eating anything with harmful artificial sweeteners since they have been linked to many diseases, including dementia and the increase in Atzheimers disease patients.

",331,14-Sep-18,,p,"

  I used to drink these Sparkling Ice waters in all flavors every day.  They all taste GREAT, my favorite was Black Raspberry. However, I just discovered that they contain sucralose which is just another harmful artificial sweetener. The only safe sweeteners are Stevia, Agave, and Raw Honey.  I have stopped drinking/eating anything with harmful artificial sweeteners since they have been linked to many diseases, including dementia and the increase in Atzheimers disease patients.

"
2,B07XC6WRJQ,"Sparkling ICE Sparkling Water, Variety Pack",1,"

  Update March 2019: I have been a regular subscriber of 3 cases a month of Sparkling Ice for a few years. I LOVED the stuff. It was plenty diabetic/keto-friendly with its 3% real juice and it tasted not merelt great, but REALISTIC. Then, sometime in the last year or so, I just stopped wanting to drink it as much. The flavor was no longer exciting. The mock mulled cider I made with it this Christmas fell flat. I thought I’d just lost my taste for it until I saw that another reviewer had noticed that the juice content went from 3% to 1%. I looked at my bottles and all the flavors indeed now say 1% juice.The company said it was to conform to its zero-sugar claim but I don’t believe it - 3% of 179mL (one serving) would be about 5g of juice, which would contain about half a gram of sugar, which can legally be labeled as 0 grams. They could have replaced the aromatics and maintained the flavor but that would probably have been more expensive than just using real juice.Now these drinks taste about the same as any other diet soda. The flavors are now flat instead of complex and realistic like they used to be.I AM CANCELLING MY SUBSCRIPTION FOR ALL THREE CASES PER MONTH. ARE YOU LISTENING, TALKING RAIN INC?I also intend to complain to Amazon about allowing Sparkling Ice to keep its past high ratings for what is no longer the same product. It is very misleading if reviews don’t all refer to the same thing being reviewed.Old review: Crisp Apple Sparkling Ice tastes almost exactly like Martinelli's sparkling ciderBeing on a carb-restricted diet, one of the things I miss most is the taste of fruit, and especially the intense flavor of fruit juices. To my palate (accustomed as it is to most artificial sweeteners), Crisp Apple Sparkling Ice tastes almost exactly like Martinelli's sparkling cider.Crisp Apple, Coconut Pineapple, and Pink Grapefruit are in my opinion, the most realistic flavors of Sparkling Ice.At $1 a bottle, it's not quite cheap but it is an affordable treat.Update: at Christmastime, I used Crisp Apple as a base for zero-carb mulled “cider.” Lacking proper mulling spices, a Constant Comment tea bag with its cinnamon/orange peel/clove flavoring did the trick nicely. A touch of malic acid restored the tanginess lost from heating the fizz (carbonic acid) out of it.

",236,21-May-17,,n,"

  Update March 2019: I have been a regular subscriber of 3 cases a month of Sparkling Ice for a few years. I LOVED the stuff. It was plenty diabetic/keto-friendly with its 3% real juice and it tasted not merelt great, but REALISTIC. Then, sometime in the last year or so, I just stopped wanting to drink it as much. The flavor was no longer exciting. The mock mulled cider I made with it this Christmas fell flat. I thought I’d just lost my taste for it until I saw that another reviewer had noticed that the juice content went from 3% to 1%. I looked at my bottles and all the flavors indeed now say 1% juice.The company said it was to conform to its zero-sugar claim but I don’t believe it - 3% of 179mL (one serving) would be about 5g of juice, which would contain about half a gram of sugar, which can legally be labeled as 0 grams. They could have replaced the aromatics and maintained the flavor but that would probably have been more expensive than just using real juice.Now these drinks taste about the same as any other diet soda. The flavors are now flat instead of complex and realistic like they used to be.I AM CANCELLING MY SUBSCRIPTION FOR ALL THREE CASES PER MONTH. ARE YOU LISTENING, TALKING RAIN INC?I also intend to complain to Amazon about allowing Sparkling Ice to keep its past high ratings for what is no longer the same product. It is very misleading if reviews don’t all refer to the same thing being reviewed.Old review: Crisp Apple Sparkling Ice tastes almost exactly like Martinelli's sparkling ciderBeing on a carb-restricted diet, one of the things I miss most is the taste of fruit, and especially the intense flavor of fruit juices. To my palate (accustomed as it is to most artificial sweeteners), Crisp Apple Sparkling Ice tastes almost exactly like Martinelli's sparkling cider.Crisp Apple, Coconut Pineapple, and Pink Grapefruit are in my opinion, the most realistic flavors of Sparkling Ice.At $1 a bottle, it's not quite cheap but it is an affordable treat.Update: at Christmastime, I used Crisp Apple as a base for zero-carb mulled “cider.” Lacking proper mulling spices, a Constant Comment tea bag with its cinnamon/orange peel/clove flavoring did the trick nicely. A touch of malic acid restored the tanginess lost from heating the fizz (carbonic acid) out of it.

"
3,B07XC6WRJQ,"Sparkling ICE Sparkling Water, Variety Pack",1,"

  I don't drink this myself, I buy it for my dad who I swear would drink it by the gallon if offered. He is diabetic and we have been trying to get him off of diet soda for a long time, this is better for him.I have no complaints about the product, I do wish amazon would do a better job keeping this flavor in stock, this is his favorite flavor and nearly impossible to find. I want to do a subscribe and save on it, hopefully amazon can get that going.

",170,7-Aug-17,,n,"

  I don't drink this myself, I buy it for my dad who I swear would drink it by the gallon if offered. He is diabetic and we have been trying to get him off of diet soda for a long time, this is better for him.I have no complaints about the product, I do wish amazon would do a better job keeping this flavor in stock, this is his favorite flavor and nearly impossible to find. I want to do a subscribe and save on it, hopefully amazon can get that going.

"
4,B07XC6WRJQ,"Sparkling ICE Sparkling Water, Variety Pack",1,"

  When I received my package I couldn't believe my eyes. All twelve bottles were filled with a clear liquid (not green in color at all!) The labeling was correct ""Sparkling Ice Lemon Lime"" So we tasted it and all it was, was Seltzer Water. Yuck. What a waste of my money. It's too heavy for me to return it so we just drained them and threw the bottles away. What I don't understand is that I always order this with no problems ever. This will be the last time I ever buy this on line again. Just Weird!

",125,9-May-18,,n,"

  When I received my package I couldn't believe my eyes. All twelve bottles were filled with a clear liquid (not green in color at all!) The labeling was correct ""Sparkling Ice Lemon Lime"" So we tasted it and all it was, was Seltzer Water. Yuck. What a waste of my money. It's too heavy for me to return it so we just drained them and threw the bottles away. What I don't understand is that I always order this with no problems ever. This will be the last time I ever buy this on line again. Just Weird!

"
5,B07XC6WRJQ,"Sparkling ICE Sparkling Water, Variety Pack",1,"

  I was not impressed with this last batch I received. I use the subscribe & save feature every month and have been ordering the strawberry watermelon sparkling ice for a few years now. The products I received before were much darker in color this last shipment I received looked like the grapefruit sparkling ice product not the strawberry watermelon one I usually get. It also had stains at the top of the cap that were darker then the product itself. The drink even tasted strange. So I contacted amazon for a refund and was issued one very fast. I then contacted talking rain, the company that makes sparkling ice, to inform them of this issue. I sent pictures to them, they said it was safe to drink but I don’t trust it. I ended up throwing the 12 pack away. Picture 1 is a comparison, picture 2, 3 and 4 are the new product and the last 2 pictures are the old version.

",140,16-Apr-18,,n,"

  I was not impressed with this last batch I received. I use the subscribe & save feature every month and have been ordering the strawberry watermelon sparkling ice for a few years now. The products I received before were much darker in color this last shipment I received looked like the grapefruit sparkling ice product not the strawberry watermelon one I usually get. It also had stains at the top of the cap that were darker then the product itself. The drink even tasted strange. So I contacted amazon for a refund and was issued one very fast. I then contacted talking rain, the company that makes sparkling ice, to inform them of this issue. I sent pictures to them, they said it was safe to drink but I don’t trust it. I ended up throwing the 12 pack away. Picture 1 is a comparison, picture 2, 3 and 4 are the new product and the last 2 pictures are the old version.

"
6,B07XC6WRJQ,"Sparkling ICE Sparkling Water, Variety Pack",5,"

  I first tried these just a few weeks ago after noticing them being promoted in our local grocery store, packaged in Seattle Seahawks colors.The taste is quite sweet, and carbonated, and I generally prefer to drink these over ice so they stay cold as well as become a bit diluted as the ice melts. The various fruit flavors are all very nice and I generally purchase the 

Variety Pack

   although I also have purchased the 

Cherry Limeade

   flavor. I have only tried this in the tall thin plastic containers, 17 ounce size, which are comfortable to hold in the hand.Much of the flavor and sweetness comes from natural fruit extracts, although these drinks do contain an artificial sweetener - sucralose - which is commonly available as 

Splenda No Calorie Sweetener

  . I have mixed feelings about consuming anything artificial, but for the moment at least I am comfortable drinking this.My first choice for thirst quenching during the day and with dinner is still water (I prefer 

San Pellegrino, Sparking Natural Mineral Water

   which I purchase in the glass bottles locally), and I drink filtered water from the dispenser at my office during the day. But once a day or so I will treat myself to a sweet flavored drink, and at the present time this Sparkling Ice is my favorite.It was convenient to purchase from Amazon and the cost was comparable to what I pay locally.

",61,22-Oct-17,,p,"

  I first tried these just a few weeks ago after noticing them being promoted in our local grocery store, packaged in Seattle Seahawks colors.The taste is quite sweet, and carbonated, and I generally prefer to drink these over ice so they stay cold as well as become a bit diluted as the ice melts. The various fruit flavors are all very nice and I generally purchase the 

Variety Pack

   although I also have purchased the 

Cherry Limeade

   flavor. I have only tried this in the tall thin plastic containers, 17 ounce size, which are comfortable to hold in the hand.Much of the flavor and sweetness comes from natural fruit extracts, although these drinks do contain an artificial sweetener - sucralose - which is commonly available as 

Splenda No Calorie Sweetener

  . I have mixed feelings about consuming anything artificial, but for the moment at least I am comfortable drinking this.My first choice for thirst quenching during the day and with dinner is still water (I prefer 

San Pellegrino, Sparking Natural Mineral Water

   which I purchase in the glass bottles locally), and I drink filtered water from the dispenser at my office during the day. But once a day or so I will treat myself to a sweet flavored drink, and at the present time this Sparkling Ice is my favorite.It was convenient to purchase from Amazon and the cost was comparable to what I pay locally.

"
7,B07XC6WRJQ,"Sparkling ICE Sparkling Water, Variety Pack",1,"

  I don't usually review stuff but this deserves a review  This is my favorite flavor and I can no longer find it locally. I decided to try amazon and see how it went. I am impressed. Free shipping and a decent price and, and I had my doubts about this as I am in North Pole Alaska, it didn't get frozen on the journey.  Now I have all the sparkling ice I want, in the flavor I want, without the frustration of trying to find it locally. (They apparently discontinued the flavor. Then had my next favorite back ordered for three months. A couple weeks after I bought this, the vendors stocking at one of the stores I go to spotted me and showed me how they finally got my second favorite flavor in. I just told them I am now getting it from amazon.)Btw.  The reason this product is so important to me is that it is fabulously flavorful, sweet tasting but not too sweet, and the biggest reason is that despite all that, it has zero calories and carbs.  Being a diabetic, that is a biggie. I don't drink soda pop but was REALLY getting tired of water. It even has some nutritional value. Awesome product and amazon really has it together with the shopping, what with it getting here without freezing, and you know what carbonated drinks do when they freeze, and the subscription service makes it super easy to keep it around.

",106,13-Feb-17,,n,"

  I don't usually review stuff but this deserves a review  This is my favorite flavor and I can no longer find it locally. I decided to try amazon and see how it went. I am impressed. Free shipping and a decent price and, and I had my doubts about this as I am in North Pole Alaska, it didn't get frozen on the journey.  Now I have all the sparkling ice I want, in the flavor I want, without the frustration of trying to find it locally. (They apparently discontinued the flavor. Then had my next favorite back ordered for three months. A couple weeks after I bought this, the vendors stocking at one of the stores I go to spotted me and showed me how they finally got my second favorite flavor in. I just told them I am now getting it from amazon.)Btw.  The reason this product is so important to me is that it is fabulously flavorful, sweet tasting but not too sweet, and the biggest reason is that despite all that, it has zero calories and carbs.  Being a diabetic, that is a biggie. I don't drink soda pop but was REALLY getting tired of water. It even has some nutritional value. Awesome product and amazon really has it together with the shopping, what with it getting here without freezing, and you know what carbonated drinks do when they freeze, and the subscription service makes it super easy to keep it around.

"
8,B07XC6WRJQ,"Sparkling ICE Sparkling Water, Variety Pack",2,"

  I have ordered here a few times before and they were good but the case I got this last time tasted bad with a weird after taste. Even the color was off- lighter than normal. Not happy with this order. Prior to this I was subscribed to receive a monthly case and was buying another case around mid month. Because of this I have canceled my monthly subscription. In the attached photo you can see the darker one is a drink I bought today at the store, as they normally look. The lighter one is the gross one I ordered from amazon. Waste of money.

",27,30-Jun-18,,n,"

  I have ordered here a few times before and they were good but the case I got this last time tasted bad with a weird after taste. Even the color was off- lighter than normal. Not happy with this order. Prior to this I was subscribed to receive a monthly case and was buying another case around mid month. Because of this I have canceled my monthly subscription. In the attached photo you can see the darker one is a drink I bought today at the store, as they normally look. The lighter one is the gross one I ordered from amazon. Waste of money.

"
9,B07XC6WRJQ,"Sparkling ICE Sparkling Water, Variety Pack",5,"

  OMG we love this stuff and the grapefruit flavor isn't always easy to find. It tastes like Fresca but with vitamins and seems to be a healthier option to sodas and sweet fruit drinks. A nice change when you want something fizzy but not sugar-sweetened and it has no sodium which is good for people who can't have salt.

",39,13-Apr-17,,p,"

  OMG we love this stuff and the grapefruit flavor isn't always easy to find. It tastes like Fresca but with vitamins and seems to be a healthier option to sodas and sweet fruit drinks. A nice change when you want something fizzy but not sugar-sweetened and it has no sodium which is good for people who can't have salt.

"
